品牌id,品牌,车系id,车系,修改（认证车主LOGO车系使用）,厂商,,
1,奥迪,1,奥迪A4L,A4L,一汽奥迪,,
1,奥迪,2,奥迪Q5,Q5,一汽奥迪,,
1,奥迪,3,奥迪A6L,A6L,一汽奥迪,,
1,奥迪,4,奥迪Q3,Q3,一汽奥迪,,
1,奥迪,5,奥迪A3,A3,一汽奥迪,,
1,奥迪,6,奥迪A4,A4,一汽奥迪,,
1,奥迪,9,奥迪Q7(进口),Q7,进口奥迪,,
1,奥迪,10,奥迪A8L(进口),A8L,进口奥迪,,
1,奥迪,11,奥迪R8(进口),R8,进口奥迪,,
1,奥迪,12,奥迪A5(进口),A5,进口奥迪,,
1,奥迪,13,奥迪A1(进口),A1,进口奥迪,,
1,奥迪,14,奥迪A7(进口),A7,进口奥迪,,
1,奥迪,15,奥迪TT(进口),TT,进口奥迪,,
1,奥迪,16,奥迪A3(进口),A3,进口奥迪,,
1,奥迪,17,奥迪A6(进口),A6,进口奥迪,,
1,奥迪,18,奥迪A4(进口),A4,进口奥迪,,
1,奥迪,19,奥迪Q5(进口),Q5,进口奥迪,,
1,奥迪,20,奥迪S8(进口),S8,进口奥迪,,
1,奥迪,21,奥迪S5(进口),S5,进口奥迪,,
1,奥迪,22,奥迪Q3(进口),Q3,进口奥迪,,
1,奥迪,23,奥迪S7,S7,进口奥迪,,
1,奥迪,24,奥迪S6,S6,进口奥迪,,
1,奥迪,25,奥迪S4,S4,进口奥迪,,
1,奥迪,26,奥迪Allroad quattro(进口),Allroad quattro,进口奥迪,,
1,奥迪,28,奥迪RS5(进口),RS5,进口奥迪RS,,
1,奥迪,29,奥迪RS7,RS7,进口奥迪RS,,
2,阿斯顿.马丁,31,阿斯顿马丁ONE-77,ONE-77,阿斯顿·马丁,,
2,阿斯顿.马丁,32,阿斯顿马丁Rapide,Rapide,阿斯顿·马丁,,
2,阿斯顿.马丁,33,阿斯顿马丁Vanquish,Vanquish,阿斯顿·马丁,,
2,阿斯顿.马丁,34,阿斯顿马丁DB9,DB9,阿斯顿·马丁,,
2,阿斯顿.马丁,35,V8 Vantage(进口),V8 Vantage,阿斯顿·马丁,,
2,阿斯顿.马丁,36,阿斯顿马丁DB7,DB7,阿斯顿·马丁,,
2,阿斯顿.马丁,37,V12 Vantage(进口),V12 Vantage,阿斯顿·马丁,,
2,阿斯顿.马丁,38,阿斯顿马丁DBS(进口),DBS,阿斯顿·马丁,,
2,阿斯顿.马丁,39,阿斯顿马丁Virage,Virage,阿斯顿·马丁,,
2,阿斯顿.马丁,41,阿斯顿马丁Zagato,Zagato,阿斯顿·马丁,,
3,阿尔法.罗密欧,42,阿尔法罗密欧Gtv(进口),Gtv,阿尔法·罗密欧,,
3,阿尔法.罗密欧,46,166,166,阿尔法·罗密欧,异常，删除,
4,AC Schnitzer,48,AC Schnitzer ACS5,ACS5,AC Schnitzer,,
4,AC Schnitzer,49,AC Schnitzer ACS7,ACS7,AC Schnitzer,,
4,AC Schnitzer,50,AC Schnitzer ACS6,ACS6,AC Schnitzer,,
5,本田,51,本田CR-V,CR-V,东风本田,,
5,本田,52,思域,思域,东风本田,,
5,本田,53,杰德,杰德,东风本田,,
5,本田,54,思铭,思铭,东风本田,,
5,本田,55,思铂睿,思铂睿,东风本田,,
5,本田,56,艾力绅,艾力绅,东风本田,,
5,本田,57,雅阁,雅阁,广汽本田,,
5,本田,58,凌派,凌派,广汽本田,,
5,本田,59,锋范,锋范,广汽本田,,
5,本田,60,飞度,飞度,广汽本田,,
5,本田,61,歌诗图,歌诗图,广汽本田,,
5,本田,62,奥德赛,奥德赛,广汽本田,,
5,本田,63,思迪,思迪,广汽本田,,
5,本田,64,本田CR-Z,CR-Z,进口本田,,
5,本田,65,思域(进口),思域,进口本田,,
5,本田,66,音赛特(进口),音赛特,进口本田,,
5,本田,67,本田CR-V(进口),CR-V,进口本田,,
5,本田,68,雅阁(进口),雅阁,进口本田,,
5,本田,69,元素(进口),元素,进口本田,,
5,本田,70,时韵(进口),时韵,进口本田,,
5,本田,71,奥德赛(进口),奥德赛,进口本田,,
5,本田,72,里程(海外),里程,进口本田,,
6,别克,74,凯越,凯越,上海通用别克,,
6,别克,75,君威,君威,上海通用别克,,
6,别克,76,英朗,英朗,上海通用别克,,
6,别克,77,君越,君越,上海通用别克,,
6,别克,78,昂科拉,昂科拉,上海通用别克,,
6,别克,80,GL8,GL8,上海通用别克,,
6,别克,81,林荫大道,林荫大道,上海通用别克,,
6,别克,82,凯越HRV,凯越HRV,上海通用别克,,
6,别克,83,凯越旅行车,凯越旅行车,上海通用别克,,
6,别克,84,赛欧,赛欧,上海通用别克,,
6,别克,85,荣御,荣御,上海通用别克,,
6,别克,86,昂科雷(进口),昂科雷,进口别克,,
7,宝马,89,宝马3系,3系,华晨宝马,,
7,宝马,90,宝马5系,5系,华晨宝马,,
7,宝马,91,宝马X1,X1,华晨宝马,,
7,宝马,92,宝马X5(进口),X5,进口宝马,,
7,宝马,93,宝马7系(进口),7系,进口宝马,,
7,宝马,94,宝马X6(进口),X6,进口宝马,,
7,宝马,95,宝马4系,4系,进口宝马,,
7,宝马,96,宝马X3(进口),X3,进口宝马,,
7,宝马,97,宝马1系(进口),1系,进口宝马,,
7,宝马,98,宝马Z4(进口),Z4,进口宝马,,
7,宝马,99,宝马5系(进口),5系,进口宝马,,
7,宝马,100,宝马3系(进口),3系,进口宝马,,
7,宝马,101,宝马5系GT(进口),5系GT,进口宝马,,
7,宝马,102,宝马3系GT,3系GT,进口宝马,,
7,宝马,103,宝马6系(进口),6系,进口宝马,,
7,宝马,105,宝马2系,2系,进口宝马,,
7,宝马,107,宝马X1(进口),X1,进口宝马,,
7,宝马,108,宝马M3,M3,进口宝马M系,,
7,宝马,109,宝马M6,M6,进口宝马M系,,
7,宝马,110,宝马X6 M,X6 M,进口宝马M系,,
7,宝马,111,宝马M5,M5,进口宝马M系,,
7,宝马,112,宝马X5 M,X5 M,进口宝马M系,,
7,宝马,114,宝马1系M,1系M,进口宝马M系,,
8,比亚迪,116,比亚迪S6,S6,比亚迪,,
8,比亚迪,117,速锐,速锐,比亚迪,,
8,比亚迪,118,比亚迪F3,F3,比亚迪,,
8,比亚迪,119,比亚迪F0,F0,比亚迪,,
8,比亚迪,120,比亚迪L3,L3,比亚迪,,
8,比亚迪,121,思锐,思锐,比亚迪,,
8,比亚迪,122,比亚迪G6,G6,比亚迪,,
8,比亚迪,123,比亚迪M6,M6,比亚迪,,
8,比亚迪,124,比亚迪S8,S8,比亚迪,,
8,比亚迪,125,比亚迪G3,G3,比亚迪,,
8,比亚迪,126,比亚迪F6,F6,比亚迪,,
8,比亚迪,127,比亚迪G3R,G3R,比亚迪,,
8,比亚迪,128,比亚迪E6,E6,比亚迪,,
8,比亚迪,129,比亚迪F3R,F3R,比亚迪,,
8,比亚迪,130,比亚迪F3DM,F3DM,比亚迪,,
8,比亚迪,131,秦,秦,比亚迪,,
8,比亚迪,132,福莱尔,福莱尔,比亚迪,,
9,奔驰,133,奔驰E级,E级,北京奔驰,,
9,奔驰,134,奔驰C级,C级,北京奔驰,,
9,奔驰,135,奔驰GLK级,GLK级,北京奔驰,,
9,奔驰,136,唯雅诺,唯雅诺,福建奔驰,,
9,奔驰,137,威霆,威霆,福建奔驰,,
9,奔驰,138,凌特,凌特,福建奔驰,,
9,奔驰,139,奔驰S级(进口),S级,进口奔驰,,
9,奔驰,140,奔驰M级(进口),M级,进口奔驰,,
9,奔驰,141,奔驰A级(进口),A级,进口奔驰,,
9,奔驰,142,奔驰GL级(进口),GL级,进口奔驰,,
9,奔驰,143,奔驰CLS级(进口),CLS级,进口奔驰,,
9,奔驰,144,奔驰B级(进口),B级,进口奔驰,,
9,奔驰,145,奔驰C级(进口),C级,进口奔驰,,
9,奔驰,146,奔驰SLK级(进口),SLK级,进口奔驰,,
9,奔驰,147,奔驰GLK级(进口),GLK级,进口奔驰,,
9,奔驰,149,奔驰R级(进口),R级,进口奔驰,,
9,奔驰,150,奔驰E级(进口),E级,进口奔驰,,
9,奔驰,151,奔驰G级(进口),G级,进口奔驰,,
9,奔驰,152,奔驰SL级(进口),SL级,进口奔驰,,
9,奔驰,153,凌特(进口),凌特,进口奔驰,,
9,奔驰,154,唯雅诺(进口),唯雅诺,进口奔驰,,
9,奔驰,155,威霆(进口),威霆,进口奔驰,,
9,奔驰,157,奔驰CLK(进口),CLK,进口奔驰,,
9,奔驰,158,奔驰CL系列(进口),CL系列,进口奔驰,,
9,奔驰,160,奔驰G级AMG,G级AMG,进口奔驰AMG,,
9,奔驰,161,奔驰SLS级AMG,SLS级AMG,进口奔驰AMG,,
9,奔驰,162,奔驰GL级AMG,GL级AMG,进口奔驰AMG,,
9,奔驰,163,奔驰S级AMG,S级AMG,进口奔驰AMG,,
9,奔驰,164,奔驰M级AMG,M级AMG,进口奔驰AMG,,
9,奔驰,165,奔驰C级AMG,C级AMG,进口奔驰AMG,,
9,奔驰,166,奔驰SLK级AMG,SLK级AMG,进口奔驰AMG,,
9,奔驰,167,奔驰SL级AMG,SL级AMG,进口奔驰AMG,,
9,奔驰,168,奔驰CLS级AMG,CLS级AMG,进口奔驰AMG,,
9,奔驰,169,奔驰E级AMG,E级AMG,进口奔驰AMG,,
10,标致,170,标致308,308,东风标致,,
10,标致,171,标致3008,3008,东风标致,,
10,标致,172,标致508,508,东风标致,,
10,标致,173,标致408,408,东风标致,,
10,标致,174,标致307三厢,307,东风标致,,
10,标致,175,标致207两厢,207,东风标致,,
10,标致,176,标致207三厢,207,东风标致,,
10,标致,177,标致307两厢,307,东风标致,,
10,标致,178,标致301,301,东风标致,,
10,标致,180,标致206,206,东风标致,,
10,标致,183,标致4008(进口),4008,进口标致,,
10,标致,184,标致308 CC(进口),308 CC,进口标致,,
10,标致,185,标致207 CC(进口),207 CC,进口标致,,
10,标致,186,标致RCZ(进口),RCZ,进口标致,,
10,标致,187,标致3008(进口),3008,进口标致,,
10,标致,188,标致607(进口),607,进口标致,,
10,标致,189,标致308 SW(进口),308 SW,进口标致,,
10,标致,190,标致407 Coupe(进口),407 Coupe,进口标致,,
10,标致,191,标致407(进口),407,进口标致,,
10,标致,192,标致407 SW(进口),407 SW,进口标致,,
10,标致,194,标致206 CC(进口),206 CC,进口标致,,
10,标致,195,标致307 CC(进口),307 CC,进口标致,,
10,标致,196,标致307 SW(进口),307 SW,进口标致,,
10,标致,197,标致406(进口),406,进口标致,,
10,标致,201,标致206 SW(进口),206 SW,进口标致,,
11,保时捷,203,保时捷Cayenne(进口),Cayenne,保时捷,,
11,保时捷,204,保时捷911(进口),911,保时捷,,
11,保时捷,205,保时捷Panamera(进口),Panamera,保时捷,,
11,保时捷,206,保时捷918,918,保时捷,,
11,保时捷,207,保时捷Boxster(进口),Boxster,保时捷,,
11,保时捷,208,保时捷Cayman(进口),Cayman,保时捷,,
12,奔腾,209,奔腾X80,X80,奔腾,,
12,奔腾,210,奔腾B50,B50,奔腾,,
12,奔腾,211,奔腾B70,B70,奔腾,,
12,奔腾,212,奔腾B90,B90,奔腾,,
13,北京汽车,213,北汽E系列两厢,E系列,北京汽车,,
13,北京汽车,214,北汽E系列三厢,E系列,北京汽车,,
13,北京汽车,215,北京吉普BJ40,BJ40,北京汽车,,
14,北汽制造,217,战旗2024,2024,北汽制造,,
14,北汽制造,218,勇士,勇士,北汽制造,,
14,北汽制造,219,北汽212系列,212系列,北汽制造,,
14,北汽制造,220,角斗士,角斗士,北汽制造,,
14,北汽制造,221,北汽骑士,骑士,北汽制造,,
14,北汽制造,222,陆霸,陆霸,北汽制造,,
14,北汽制造,223,域胜007,域胜007,北汽制造,,
14,北汽制造,224,陆铃,陆铃,北汽制造,,
14,北汽制造,225,战旗2023,战旗2023,北汽制造,,
14,北汽制造,226,新城市猎人,新城市猎人,北汽制造,,
14,北汽制造,227,雷驰,雷驰,北汽制造,,
14,北汽制造,228,旋风,旋风,北汽制造,,
15,宝骏,229,宝骏630,630,宝骏,,
15,宝骏,230,乐驰,乐驰,宝骏,,
16,宾利,231,欧陆(进口),欧陆,宾利,,
16,宾利,232,欧陆飞驰（欧陆和飞驰属两个车系，此项应为飞驰）,飞驰,宾利,,
16,宾利,233,雅致Arnage(进口),雅致Arnage,宾利,,
16,宾利,234,慕尚(海外),慕尚,宾利,,
16,宾利,235,雅骏(进口),雅骏,宾利,,
17,北汽威旺,236,北汽威旺M20,威旺M20,北汽威旺,,
17,北汽威旺,237,北汽威旺205,威旺205,北汽威旺,,
17,北汽威旺,238,北汽威旺306,威旺306,北汽威旺,,
18,布加迪,239,威航(进口),威航,布加迪,,
19,巴博斯,240,BRABUS巴博斯 M级,M级,巴博斯,,
19,巴博斯,241,BRABUS巴博斯 SLK级,SLK级,巴博斯,,
19,巴博斯,242,BRABUS巴博斯 S级,S级,巴博斯,,
19,巴博斯,243,BRABUS巴博斯 CLS级,CLS级,巴博斯,,
20,保斐利,246,保斐利LA JOYA,JOYA,保斐利,,
21,长安轿车,247,长安CS35,CS35,长安轿车,,
21,长安轿车,248,致尚XT,致尚XT,长安轿车,,
21,长安轿车,249,逸动,逸动,长安轿车,,
21,长安轿车,250,悦翔V3,悦翔V3,长安轿车,,
21,长安轿车,251,长安CX20,CX20,长安轿车,,
21,长安轿车,252,奔奔Mini,奔奔Mini,长安轿车,,
21,长安轿车,253,悦翔,悦翔,长安轿车,,
21,长安轿车,254,睿骋,睿骋,长安轿车,,
21,长安轿车,255,悦翔V5,悦翔V5,长安轿车,,
21,长安轿车,256,长安CX30三厢,CX30三厢,长安轿车,,
21,长安轿车,257,长安CS75,CS75,长安轿车,,
21,长安轿车,258,奔奔,奔奔,长安轿车,,
21,长安轿车,259,志翔,志翔,长安轿车,,
21,长安轿车,260,长安CX30两厢,CX30两厢,长安轿车,,
21,长安轿车,261,悦翔两厢,悦翔两厢,长安轿车,,
21,长安轿车,262,杰勋,杰勋,长安轿车,,
22,长城,263,长城M4,M4,长城,,
22,长城,264,长城C30,C30,长城,,
22,长城,265,长城C50,C50,长城,,
22,长城,266,长城V80,V80,长城,,
22,长城,267,长城M2,M2,长城,,
22,长城,268,风骏5,风骏5,长城,,
22,长城,269,长城C20R,C20R,长城,,
22,长城,270,风骏房车,风骏房车,长城,,
22,长城,271,金迪尔,金迪尔,长城,,
22,长城,272,炫丽,炫丽,长城,,
22,长城,273,酷熊,酷熊,长城,,
22,长城,274,赛弗SUV,赛弗SUV,长城,,
22,长城,275,长城精灵,精灵,长城,,
22,长城,276,炫丽CROSS,炫丽CROSS,长城,,
22,长城,277,大脚兽,大脚兽,长城,,
22,长城,278,凌傲,凌傲,长城,,
22,长城,279,风骏3,风骏3,长城,,
22,长城,280,赛影RUV,赛影RUV,长城,,
22,长城,281,赛铃皮卡,赛铃,长城,,
22,长城,282,赛酷皮卡,赛酷,长城,,
22,长城,283,赛骏,赛骏,长城,,
23,长安商用,284,欧力威,欧力威,长安商用,,
23,长安商用,285,长安欧诺,欧诺,长安商用,,
23,长安商用,286,长安之星,之星,长安商用,,
23,长安商用,287,长安之星2,长安之星2,长安商用,,
23,长安商用,288,金牛星,金牛星,长安商用,,
23,长安商用,289,长安睿行,睿行,长安商用,,
23,长安商用,290,长安星光,星光,长安商用,,
23,长安商用,291,长安星卡,星卡,长安商用,,
23,长安商用,292,长安星光4500,星光4500,长安商用,,
23,长安商用,293,长安尊行,尊行,长安商用,,
23,长安商用,294,长安神骐,神骐,长安商用,,
23,长安商用,297,长安CM8,CM8,长安商用,,
23,长安商用,298,长安星韵,星韵,长安商用,,
23,长安商用,299,长安运通,运通,长安商用,,
23,长安商用,300,长安镭蒙,镭蒙,长安商用,,
23,长安商用,301,长安雪虎,雪虎,长安商用,,
24,昌河,302,福瑞达,福瑞达,昌河,,
24,昌河,303,爱迪尔,爱迪尔,昌河,,
24,昌河,304,福运,福运,昌河,,
24,昌河,306,爱迪尔Ⅱ,爱迪尔Ⅱ,昌河,,
25,大众,310,桑塔纳,桑塔纳,上海大众,,
25,大众,311,朗逸,朗逸,上海大众,,
25,大众,312,途观,途观,上海大众,,
25,大众,313,帕萨特,帕萨特,上海大众,,
25,大众,314,大众POLO,POLO,上海大众,,
25,大众,315,朗境,朗境,上海大众,,
25,大众,316,朗行,朗行,上海大众,,
25,大众,317,途安,途安,上海大众,,
25,大众,318,桑塔纳志俊,桑塔纳,上海大众,,
25,大众,319,大众CrossPOLO,CrossPOLO,上海大众,,
25,大众,321,大众POLO劲取,POLO,上海大众,,
25,大众,322,大众POLO GTI,POLO GTI,上海大众,,
25,大众,323,桑塔纳3000,桑塔纳,上海大众,,
25,大众,324,桑塔纳2000,桑塔纳,上海大众,,
25,大众,325,高尔,高尔,上海大众,,
25,大众,326,POLO劲情,POLO ,上海大众,,
25,大众,327,速腾,速腾,一汽-大众,,
25,大众,328,捷达,捷达,一汽-大众,,
25,大众,329,宝来,宝来,一汽-大众,,
25,大众,330,迈腾,迈腾,一汽-大众,,
25,大众,331,高尔夫,高尔夫,一汽-大众,,
25,大众,332,一汽-大众CC,CC,一汽-大众,,
25,大众,333,高尔夫GTI,高尔夫GTI,一汽-大众,,
25,大众,334,开迪,开迪,一汽-大众,,
25,大众,335,宝来两厢,宝来,一汽-大众,,
25,大众,336,辉腾(进口),辉腾,进口大众,,
25,大众,337,途锐(进口),途锐,进口大众,,
25,大众,338,尚酷(进口),尚酷,进口大众,,
25,大众,339,甲壳虫(进口),甲壳虫,进口大众,,
25,大众,340,大众Tiguan(进口),Tiguan,进口大众,,
25,大众,341,夏朗(进口),夏朗,进口大众,,
25,大众,342,高尔夫(进口),高尔夫,进口大众,,
25,大众,343,大众CC(进口),CC,进口大众,,
25,大众,344,迈腾(进口),迈腾,进口大众,,
25,大众,345,大众Eos(进口),Eos,进口大众,,
25,大众,346,高尔夫GTI(进口),高尔夫GTI,进口大众,,
25,大众,347,大众Multivan(进口),Multivan,进口大众,,
25,大众,349,大众 R36(进口),R36,进口大众,,
25,大众,350,PASSAT(进口),PASSAT,进口大众,,
26,东风风行,351,景逸X5,景逸X5,东风风行,,
26,东风风行,352,菱智,菱智,东风风行,,
26,东风风行,353,景逸,景逸,东风风行,,
26,东风风行,354,景逸SUV,景逸SUV,东风风行,,
26,东风风行,355,风行CM7,风行CM7,东风风行,,
27,东南,356,V3菱悦,V3菱悦,东南,,
27,东南,357,V5菱致,V5菱致,东南,,
27,东南,358,V6菱仕,V6菱仕,东南,,
27,东南,359,得利卡,得利卡,东南,,
27,东南,360,希旺,希旺,东南,,
27,东南,361,菱帅,菱帅,东南,,
27,东南,362,富利卡,富利卡,东南,,
27,东南,363,菱利,菱利,东南,,
28,东风小康,364,东风小康风光,风光,东风小康,,
28,东风小康,365,东风小康K17,K17,东风小康,,
28,东风小康,366,东风小康C37,C37,东风小康,,
28,东风小康,367,东风小康V27,V27,东风小康,,
28,东风小康,368,东风小康V29,V29,东风小康,,
28,东风小康,369,东风小康K07,K07,东风小康,,
28,东风小康,370,东风小康K07Ⅱ,K07Ⅱ,东风小康,,
28,东风小康,371,东风小康C35,C35,东风小康,,
28,东风小康,372,东风小康K02,K02,东风小康,,
28,东风小康,373,东风小康K01,K01,东风小康,,
28,东风小康,374,东风小康V07s,V07s,东风小康,,
28,东风小康,375,东风小康V26,V26,东风小康,,
28,东风小康,376,东风小康V22,V22,东风小康,,
28,东风小康,377,东风小康V21,V21,东风小康,,
29,道奇,378,凯领,凯领,东南道奇,,
29,道奇,379,酷威(进口),酷威,进口道奇,,
29,道奇,380,酷搏(进口),酷搏,进口道奇,,
29,道奇,381,公羊(进口),公羊,进口道奇,,
29,道奇,382,锋哲(进口),锋哲,进口道奇,,
29,道奇,383,翼龙(进口),翼龙,进口道奇,,
29,道奇,384,拓荒者(进口),拓荒者,进口道奇,,
29,道奇,385,凯领(进口),凯领,进口道奇,,
30,东风风神,386,风神A60,风神A60,东风风神,,
30,东风风神,387,H30 Cross,风神H30 ,东风风神,,
30,东风风神,388,风神S30,风神S30,东风风神,,
30,东风风神,389,风神H30,风神H30,东风风神,,
31,DS,390,DS5,DS5,长安标致DS,,
31,DS,391,DS5(进口),DS5,进口DS,,
31,DS,392,DS3(进口),DS3,进口DS,,
31,DS,393,DS4(进口),DS4,进口DS,,
32,东风风度,394,帅客,帅客,东风风度,,
32,东风风度,395,奥丁,奥丁,东风风度,,
32,东风风度,396,锐骐皮卡,锐骐,东风风度,,
32,东风风度,397,御轩,御轩,东风风度,,
32,东风风度,398,锐骐厢式车,锐骐,东风风度,,
32,东风风度,399,俊风,俊风,东风风度,,
33,东风,400,御风,御风,东风,,
34,大通,405,MAXUS V80,MAXUS V80,大通,商用车，删除,
34,大通,406,MAXUS V80改装车,MAXUS V80,大通,商用车，删除,
35,福特,407,福克斯三厢,福克斯,长安福特,,
35,福特,408,蒙迪欧,蒙迪欧,长安福特,,
35,福特,409,翼虎,翼虎,长安福特,,
35,福特,410,福克斯两厢,福克斯,长安福特,,
35,福特,411,翼搏,翼搏,长安福特,,
35,福特,412,嘉年华两厢,嘉年华,长安福特,,
35,福特,413,蒙迪欧-致胜,致胜,长安福特,,
35,福特,414,嘉年华三厢,嘉年华,长安福特,,
35,福特,416,麦柯斯,麦柯斯,长安福特,,
35,福特,417,锐界(进口),锐界,进口福特,,
35,福特,418,福特探险者(进口),探险者,进口福特,,
35,福特,419,野马(进口),野马,进口福特,,
35,福特,420,F系列(进口),F系列,进口福特,,
35,福特,421,福特E系列(进口),E系列,进口福特,,
35,福特,422,福克斯(进口),福克斯,进口福特,,
35,福特,423,征服者(进口),征服者,进口福特,,
35,福特,424,嘉年华(进口),嘉年华,进口福特,,
35,福特,425,Flex(海外),Flex,进口福特,,
35,福特,427,福特外交官(进口),外交官,进口福特,,
36,丰田,430,凯美瑞,凯美瑞,广汽丰田,,
36,丰田,431,汉兰达,汉兰达,广汽丰田,,
36,丰田,432,逸致,逸致,广汽丰田,,
36,丰田,433,雅力士,雅力士,广汽丰田,,
36,丰田,434,凯美瑞Hybrid,凯美瑞Hybrid,广汽丰田,,
36,丰田,435,YARiS L 致炫,致炫,广汽丰田,,
36,丰田,436,威驰,威驰,一汽丰田,,
36,丰田,437,一汽丰田RAV4,RAV4,一汽丰田,,
36,丰田,438,花冠,花冠,一汽丰田,,
36,丰田,439,卡罗拉,卡罗拉,一汽丰田,,
36,丰田,440,锐志,锐志,一汽丰田,,
36,丰田,441,普拉多,普拉多,一汽丰田,,
36,丰田,442,皇冠,皇冠,一汽丰田,,
36,丰田,443,兰德酷路泽,兰德酷路泽,一汽丰田,,
36,丰田,444,普锐斯,普锐斯,一汽丰田,,
36,丰田,445,柯斯达,柯斯达,一汽丰田,,
36,丰田,446,陆地巡洋舰,兰德酷路泽,一汽丰田,,
36,丰田,447,特锐,特锐,一汽丰田,,
36,丰田,448,普拉多(进口),普拉多,进口丰田,,
36,丰田,449,陆地巡洋舰(进口),兰德酷路泽,进口丰田,,
36,丰田,450,丰田86,86,进口丰田,,
36,丰田,451,红杉(进口),红杉,进口丰田,,
36,丰田,452,FJ酷路泽(进口),FJ酷路泽,进口丰田,,
36,丰田,453,丰田皮卡(进口),坦途,进口丰田,,
36,丰田,454,埃尔法(进口),埃尔法,进口丰田,,
36,丰田,455,丰田汉兰达(进口),汉兰达,进口丰田,,
36,丰田,456,丰田Wish,Wish,进口丰田,,
36,丰田,457,杰路驰(进口),杰路驰,进口丰田,,
36,丰田,458,普瑞维亚(进口),普瑞维亚,进口丰田,,
36,丰田,459,威飒,威飒,进口丰田,,
36,丰田,460,Sienna(进口),Sienna,进口丰田,,
36,丰田,461,考斯特(进口),考斯特,进口丰田,商用车，删除,
36,丰田,462,丰田海狮(进口),海狮,进口丰田,,
36,丰田,464,海拉克斯(进口),海拉克斯,进口丰田,,
36,丰田,465,丰田MR2(进口),MR2,进口丰田,,
36,丰田,466,丰田亚洲龙(进口),亚洲龙,进口丰田,,
36,丰田,467,丰田佳美(进口),佳美,进口丰田,,
36,丰田,468,丰田RAV4(进口),RAV4,进口丰田,,
36,丰田,469,4Runner,4Runner,进口丰田,,
36,丰田,471,丰田赛利卡(进口),赛利卡,进口丰田,,
37,菲亚特,473,菲翔,菲翔,广汽菲亚特,,
37,菲亚特,474,派力奥,派力奥,南京菲亚特,,
37,菲亚特,475,西耶那,西耶那,南京菲亚特,,
37,菲亚特,476,周末风,周末风,南京菲亚特,,
37,菲亚特,477,派朗,派朗,南京菲亚特,,
37,菲亚特,478,菲跃(进口),菲跃,进口菲亚特,,
37,菲亚特,479,菲亚特500(进口),500,进口菲亚特,,
37,菲亚特,480,博悦(进口),博悦,进口菲亚特,,
37,菲亚特,482,朋多,朋多,进口菲亚特,,
37,菲亚特,483,领雅,领雅,进口菲亚特,,
37,菲亚特,485,菲亚特Stilo(进口),Stilo,进口菲亚特,,
37,菲亚特,486,德特乐福斯(进口),德特乐福斯,进口菲亚特,,
37,菲亚特,488,菲亚特Doblo(进口),Doblo,进口菲亚特,,
38,法拉利,490,法拉利458(进口),458,法拉利,,
38,法拉利,491,F12 berlinetta(海外),F12 berlinetta,法拉利,,
38,法拉利,492,California(进口),California,法拉利,,
38,法拉利,493,法拉利FF,FF,法拉利,,
38,法拉利,496,法拉利F430(进口),F430,法拉利,,
38,法拉利,497,法拉利599(进口),599,法拉利,,
38,法拉利,498,575M Maranello(进口),575M Maranello,法拉利,,
38,法拉利,499,612 Scaglietti(进口),612 Scaglietti,法拉利,,
38,法拉利,500,360 Modena(进口),360 Modena,法拉利,,
39,福田,502,蒙派克E,蒙派克E,福田,,
39,福田,503,奥铃捷运,奥铃捷运,福田,,
39,福田,504,风景快运,风景,福田,,
39,福田,505,萨普,萨普,福田,,
