"id","name","phone","city","star","category","address","created_at","updated_at"
"2","大连·赤龍养车","0411-82496369","大连市","1","车行","辽宁省,大连市,中山区,大连市中山区八一路131号...","2016-11-14 09:28:08.063992","2016-11-14 09:28:08.063992"
"2","大连·驰加西安路店","0411-84528997","大连市","1","车行","辽宁省,大连市,沙河口区,大连市沙河口区沙河口中长...","2016-11-14 09:28:08.073567","2016-11-14 09:28:08.073567"
"3","大连·驰加胜利路店","0411-84355999","大连市","1","车行","辽宁省,大连市,西岗区,大连市西岗区胜利路111号...","2016-11-14 09:28:08.075353","2016-11-14 09:28:08.075353"
"4","大连·驰加解放路店","0411-62881899","大连市","1","车行","辽宁省,大连市,中山区,大连市中山区解放路604号...","2016-11-14 09:28:08.077002","2016-11-14 09:28:08.077002"
"5","大连·通达洗车","13204050091","大连市","2","车行","辽宁省,大连市,中山区,大连市中山区春德街86号（...","2016-11-14 09:28:08.078609","2016-11-14 09:28:08.078609"
"6","大连·舒雅汽车美容","15754016970","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区辛寨子街道...","2016-11-14 09:28:08.080353","2016-11-14 09:28:08.080353"
"7","大连·美安达汽车养护中心","13940962783","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区锦城西园4...","2016-11-14 09:28:08.082161","2016-11-14 09:28:08.082161"
"8","大连·隆腾美车会所","13591800168","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区红旗西路1...","2016-11-14 09:28:08.084388","2016-11-14 09:28:08.084388"
"9","大连·恒源汽车美容","13940980416","大连市","1","车行","辽宁省,大连市,沙河口区,大连市沙河口区黄河路81...","2016-11-14 09:28:08.087308","2016-11-14 09:28:08.087308"
"10","大连·革新汽车美容","18842820081","大连市","1","车行","辽宁省,大连市,甘井子区,大连市甘井子区辛寨子街道...","2016-11-14 09:28:08.089832","2016-11-14 09:28:08.089832"
"11","大连·车都市汽车美容用品坊","13478787006","大连市","1","车行","辽宁省,大连市,沙河口区,大连市沙河口区富民路23...","2016-11-14 09:28:08.091974","2016-11-14 09:28:08.091974"
"12","漯河·御车坊汽车美容生活馆","18539509918","漯河市","1","车行","河南省,漯河市,市辖区,漯河市解放路南段电力器材厂...","2016-11-14 09:28:08.093613","2016-11-14 09:28:08.093613"
"13","漯河·爱车世家汽车美容维修服务","13781709385","漯河市","1","车行","河南省,漯河市,市辖区,漯河市召陵区桐柏山路与滦河...","2016-11-14 09:28:08.095139","2016-11-14 09:28:08.095139"
"14","漯河·东方汽车美容装饰","13939593860","漯河市","1","车行","河南省,漯河市,市辖区,漯河市人民路与衡山路交叉口...","2016-11-14 09:28:08.097003","2016-11-14 09:28:08.097003"
"15","阜阳-阳光宝贝","0558-2262026","阜阳市","2","优质生活","安徽省,阜阳市,颍州区,颍州中路文峰宾馆对面金城大...","2016-11-14 09:28:08.099297","2016-11-14 09:28:08.099297"
"16","漯河·驰耐安汽车装饰美容中心","13069565556","漯河市","1","车行","河南省,漯河市,市辖区,漯河市金山路与湘江路交叉口...","2016-11-14 09:28:08.101010","2016-11-14 09:28:08.101010"
"17","漯河·宝隆汽车服务","13603956073","漯河市","1","车行","河南省,漯河市,召陵区,漯河市解放路中段八一路口南...","2016-11-14 09:28:08.102851","2016-11-14 09:28:08.102851"
"18","阜阳-衣来净洗衣店","13339221518","阜阳市","1","优质生活","安徽省,阜阳市,颍州区,天瑞名城东区大门南50米路...","2016-11-14 09:28:08.105127","2016-11-14 09:28:08.105127"
"19","阜阳-尼罗亚商务酒店","0558-2589888","阜阳市","2","宾馆酒店","安徽省,阜阳市,颍州区,魁星路2号（友好医院旁）","2016-11-14 09:28:08.107043","2016-11-14 09:28:08.107043"
"20","阜阳-御景家园酒店","0558-3872888","阜阳市","3","宾馆酒店","安徽省,阜阳市,颍州区,人民西路与南京路交叉口","2016-11-14 09:28:08.109288","2016-11-14 09:28:08.109288"
"21","阜阳·申百立汽车养护美容中心","0558-2488688","阜阳市","1","车行","安徽省,阜阳市,颍东区,阜阳市北京东路颍东区委斜对...","2016-11-14 09:28:08.111275","2016-11-14 09:28:08.111275"
"22","阜阳·金诺汽车养护中心","0558-2231919","阜阳市","1","车行","安徽省,阜阳市,市辖区,阜阳市新三中北100米正基...","2016-11-14 09:28:08.113303","2016-11-14 09:28:08.113303"
"23","上蔡·锦晟汽车维修服务中心","18839608571","驻马店市","1","车行","河南省,驻马店市,上蔡县,上蔡县蔡侯路东段二里农贸...","2016-11-14 09:28:08.115414","2016-11-14 09:28:08.115414"
"24","郑州·致远汽车快速服务中心2号店","13721405525","郑州市","1","车行","河南省,郑州市,市辖区,郑州市金水区国基路与普庆路...","2016-11-14 09:28:08.117435","2016-11-14 09:28:08.117435"
"25","郑州·乐途汽车维修服务","13213141565","郑州市","1","车行","河南省,郑州市,市辖区,郑州市秦岭路五龙口路向东1...","2016-11-14 09:28:08.120263","2016-11-14 09:28:08.120263"
"26","阜阳·德意电器","18656861429","阜阳市","1","优质生活","安徽省,阜阳市,颍州区,阜阳市颍州区天瑞名城营销中...","2016-11-14 09:28:08.122230","2016-11-14 09:28:08.122230"
"27","郑州·德国马牌","15003814078","郑州市","1","车行","河南省,郑州市,二七区,郑州市长江路嵩山路向北20...","2016-11-14 09:28:08.123915","2016-11-14 09:28:08.123915"
"28","漯河·小楚汽车美容会所","15565909600","漯河市","1","车行","河南省,漯河市,市辖区,漯河市海河路与舟山路交叉口...","2016-11-14 09:28:08.152944","2016-11-14 09:28:08.152944"
"29","漯河·车生活一站式汽车美容装饰","18939555569","漯河市","1","车行","河南省,漯河市,市辖区,漯河市辽河路西段加油站对面...","2016-11-14 09:28:08.156145","2016-11-14 09:28:08.156145"
"30","漯河·小拇指","18739596878","漯河市","1","车行","河南省,漯河市,市辖区,漯河市泰山路与柳江路交叉口...","2016-11-14 09:28:08.158201","2016-11-14 09:28:08.158201"
"31","漯河·佳诚汽车装饰美容中心","15539559990","漯河市","1","车行","河南省,漯河市,市辖区,漯河市海河路与祁山路交叉口...","2016-11-14 09:28:08.160946","2016-11-14 09:28:08.160946"
"32","漯河·固特异轮胎","13507656699","漯河市","1","车行","河南省,漯河市,市辖区,漯河市泰山路与松江路交叉口...","2016-11-14 09:28:08.163196","2016-11-14 09:28:08.163196"
"33","漯河·车爵仕汽车美容装饰","18539536085","漯河市","1","车行","河南省,漯河市,市辖区,漯河市滨河路涵洞西口路南","2016-11-14 09:28:08.164857","2016-11-14 09:28:08.164857"
"34","郑州·油易换汽车服务有限公司","15637159000","郑州市","1","车行","河南省,郑州市,市辖区,郑州市郑东新区天时路9号","2016-11-14 09:28:08.166585","2016-11-14 09:28:08.166585"
"35","驻马店·合威汽车美容","0396-3578688","驻马店市","1","车行","河南省,驻马店市,驿城区,驻马店市团结路与文明路交...","2016-11-14 09:28:08.168514","2016-11-14 09:28:08.168514"
"36","太和·伊丽莎白窗帘布艺","13155589210","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县温泉度假村南300米...","2016-11-14 09:28:08.172373","2016-11-14 09:28:08.172373"
"37","阜阳·森迪门业","0558-2312697","阜阳市","1","优质生活","安徽省,阜阳市,颍东区,阜阳市颍东区幸福西路安居花...","2016-11-14 09:28:08.174289","2016-11-14 09:28:08.174289"
"38","阜阳·艺锦装饰","18155862156","阜阳市","3","优质生活","安徽省,阜阳市,颍州区,阜阳市颍州区清河西路港利上...","2016-11-14 09:28:08.206759","2016-11-14 09:28:08.206759"
"39","阜阳·怡香茶行","18305586998","阜阳市","1","休闲养生","安徽省,阜阳市,市辖区,阜阳市北京中路水建公司北院...","2016-11-14 09:28:08.208676","2016-11-14 09:28:08.208676"
"40","阜阳·Girl's","Market","17356976157","阜阳市","1","优质生活","2016-11-14 09:28:08.210407","2016-11-14 09:28:08.210407"
"41","太和·爱车之家","15956893111","阜阳市","1","车行","安徽省,阜阳市,太和县,太和县文明东路曙光新村","2016-11-14 09:28:08.212202","2016-11-14 09:28:08.212202"
"42","太和·车骏易汽车美容","13215588885","阜阳市","1","车行","安徽省,阜阳市,太和县,太和县健康东路第十小学东3...","2016-11-14 09:28:08.213808","2016-11-14 09:28:08.213808"
"43","阜阳·爱车美车汽车美容","18005582526","阜阳市","1","车行","安徽省,阜阳市,颍州区,阜阳市颍州区清河西路港利上...","2016-11-14 09:28:08.215566","2016-11-14 09:28:08.215566"
"44","周口·渝巴奴毛肚火锅","0394-8307777","周口市","1","特色美食","河南省,周口市,市辖区,周口市莲花路维也纳公园大门...","2016-11-14 09:28:08.217461","2016-11-14 09:28:08.217461"
"45","周口·型动健身","0394-8863333","周口市","1","休闲养生","河南省,周口市,市辖区,周口市莲花路维也纳公园大门...","2016-11-14 09:28:08.219761","2016-11-14 09:28:08.219761"
"46","阜阳·龙腾飞汽车美容","18655863727","阜阳市","1","车行","安徽省,阜阳市,颍州区,阜阳市颍州淮河路767号万...","2016-11-14 09:28:08.222999","2016-11-14 09:28:08.222999"
"47","阜阳·靓车屋汽车装饰养护中心","13956795226","阜阳市","1","车行","安徽省,阜阳市,颍州区,阜阳市颍州南路电业局小区颐...","2016-11-14 09:28:08.226002","2016-11-14 09:28:08.226002"
"48","阜阳·e车站专业汽车美容养护中心","18555083980","阜阳市","1","车行","安徽省,阜阳市,颍泉区,阜阳市颍泉区北京中路交警六...","2016-11-14 09:28:08.255776","2016-11-14 09:28:08.255776"
"49","阜阳·66公路","17355820166","阜阳市","1","车行","安徽省,阜阳市,市辖区,阜阳市东城墙路温州街20栋","2016-11-14 09:28:08.257674","2016-11-14 09:28:08.257674"
"50","颍上·寰宇汽车美容养护会所","18755856868","阜阳市","1","车行","安徽省,阜阳市,颍上县,颍上县城北新区皇府上郡西门...","2016-11-14 09:28:08.259449","2016-11-14 09:28:08.259449"
"51","颍上·车美居美容会所","18956711828","阜阳市","1","车行","安徽省,阜阳市,颍上县,颍上县建颍路107号（管仲...","2016-11-14 09:28:08.261066","2016-11-14 09:28:08.261066"
"52","临泉·协润汽车划痕修复专家","15398152729","阜阳市","1","车行","安徽省,阜阳市,临泉县,临泉县解放南大街与阜临路交...","2016-11-14 09:28:08.262771","2016-11-14 09:28:08.262771"
"53","临泉·百车汇汽车生活馆","15215587268","阜阳市","1","车行","安徽省,阜阳市,临泉县,临泉县四化东路王柿园","2016-11-14 09:28:08.264475","2016-11-14 09:28:08.264475"
"54","界首·护车使者养护中心","18856816622","阜阳市","1","车行","安徽省,阜阳市,界首市,界首市火车站路口向西100...","2016-11-14 09:28:08.266182","2016-11-14 09:28:08.266182"
"55","界首·鼎尚汽车美容会所","13335589296","阜阳市","1","车行","安徽省,阜阳市,界首市,界首市新阳路矿泉浴池东50...","2016-11-14 09:28:08.267985","2016-11-14 09:28:08.267985"
"56","阜南·大唐汽车服务","0558-6663566","阜阳市","1","车行","安徽省,阜阳市,阜南县,阜南县三塔北路城市花园西门...","2016-11-14 09:28:08.271606","2016-11-14 09:28:08.271606"
"57","阜南·鑫龙车友会","0558-2884488","阜阳市","1","车行","安徽省,阜阳市,阜南县,阜南县南阳大道建材市场北门...","2016-11-14 09:28:08.279730","2016-11-14 09:28:08.279730"
"58","阜阳·恒之星汽车美容装饰","15856883268","阜阳市","1","车行","安徽省,阜阳市,市辖区,阜阳市汽车北站西200米路...","2016-11-14 09:28:08.281986","2016-11-14 09:28:08.281986"
"59","阜阳·洛菲诗无缝墙布","18856865688","阜阳市","1","优质生活","安徽省,阜阳市,市辖区,阳市中南大道港利金茂广场8...","2016-11-14 09:28:08.283705","2016-11-14 09:28:08.283705"
"60","阜阳·法恩莎卫浴","0558-2311899","阜阳市","1","优质生活","安徽省,阜阳市,市辖区,阜阳市中南大道港利金茂广场...","2016-11-14 09:28:08.312700","2016-11-14 09:28:08.312700"
"61","阜阳·安玛卫浴","0558-2668600","阜阳市","1","优质生活","安徽省,阜阳市,市辖区,阜阳市临沂商城C区20栋6...","2016-11-14 09:28:08.315359","2016-11-14 09:28:08.315359"
"62","太和·博莱森汽车养护服务站","0558-2931558","阜阳市","1","车行","安徽省,阜阳市,太和县,太和县三角元长途汽车站往东...","2016-11-14 09:28:08.317812","2016-11-14 09:28:08.317812"
"63","太和·国泰体育宾馆","0558-8678999","阜阳市","1","宾馆酒店","安徽省,阜阳市,太和县,太和县国泰路体育中心北50...","2016-11-14 09:28:08.320632","2016-11-14 09:28:08.320632"
"64","太和·世存商务宾馆","0558-8692999","阜阳市","1","宾馆酒店","安徽省,阜阳市,太和县,太和县建设路88号","2016-11-14 09:28:08.324718","2016-11-14 09:28:08.324718"
"65","太和·润莱宾馆","0558-8287288","阜阳市","1","宾馆酒店","安徽省,阜阳市,太和县,太和县太和大道174号（公...","2016-11-14 09:28:08.328000","2016-11-14 09:28:08.328000"
"66","太和·嘉年华灯饰","15955865977","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县新体育场对面","2016-11-14 09:28:08.330542","2016-11-14 09:28:08.330542"
"67","太和·艾斐宫殿婚纱摄影","0558-8279977","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县人民北路苏宁电器对面","2016-11-14 09:28:08.362240","2016-11-14 09:28:08.362240"
"68","太和·好乐居装饰公司","18726568309","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县建设西路和谐家园南门...","2016-11-14 09:28:08.364025","2016-11-14 09:28:08.364025"
"69","太和·洗车人家","15222983555","阜阳市","1","车行","安徽省,阜阳市,太和县,太和县国泰路锦都花园西门","2016-11-14 09:28:08.365736","2016-11-14 09:28:08.365736"
"70","周口·波尔多红酒坊","13103944888","周口市","1","优质生活","河南省,周口市,川汇区,周口市交通路与工农路交汇处...","2016-11-14 09:28:08.367322","2016-11-14 09:28:08.367322"
"71","周口·世纪国贸假日酒店","1593600092","周口市","1","宾馆酒店","河南省,周口市,川汇区,周口市川汇区大庆路中段18...","2016-11-14 09:28:08.369156","2016-11-14 09:28:08.369156"
"72","周口·锦源酒店","0394-8929999","周口市","1","宾馆酒店","河南省,周口市,川汇区,周口市川汇区八一路与黄河路...","2016-11-14 09:28:08.372920","2016-11-14 09:28:08.372920"
"73","周口·恒品茗茶","0394-8368287","周口市","1","休闲养生","河南省,周口市,川汇区,周口市黄河路与中州路交叉口...","2016-11-14 09:28:08.375722","2016-11-14 09:28:08.375722"
"74","周口·鼎尚轩斑鱼府","18749289577","周口市","1","特色美食","河南省,周口市,川汇区,周口市川汇区光荣路与育新街...","2016-11-14 09:28:08.377955","2016-11-14 09:28:08.377955"
"75","周口·克丽缇娜乔氏美容","0394-8367399","周口市","1","休闲养生","河南省,周口市,川汇区,周口市川汇区黄河路与中州路...","2016-11-14 09:28:08.410728","2016-11-14 09:28:08.410728"
"76","周口·北京天锐杰装饰","18336107610","周口市","1","优质生活","河南省,周口市,市辖区,周口市川汇区大庆路与建设大...","2016-11-14 09:28:08.412695","2016-11-14 09:28:08.412695"
"77","郑州·豫涛汽修连锁·正车店","0371-86631313","郑州市","1","车行","河南省,郑州市,市辖区,郑州市金水区国基路金杯路交...","2016-11-14 09:28:08.414304","2016-11-14 09:28:08.414304"
"78","周口·潇南汽车美容装饰","13084290051","周口市","1","车行","河南省,周口市,市辖区,周口市交通路东段格林绿色港...","2016-11-14 09:28:08.415848","2016-11-14 09:28:08.415848"
"79","周口·美之星汽车装饰美容中心","13253770004","周口市","1","车行","河南省,周口市,川汇区,周口市川汇区交通路西段现代...","2016-11-14 09:28:08.417364","2016-11-14 09:28:08.417364"
"80","周口·特福莱全球汽车连锁汽车服务","15346091677","周口市","1","车行","河南省,周口市,市辖区,周口市文昌大道大庆路交叉口...","2016-11-14 09:28:08.419103","2016-11-14 09:28:08.419103"
"81","周口·爱马汽车美容会所","15294973871","周口市","1","车行","河南省,周口市,川汇区,周口市交通路与大庆路交叉口...","2016-11-14 09:28:08.422445","2016-11-14 09:28:08.422445"
"82","周口·谊丰汽车美容中心","18738865660","周口市","1","车行","河南省,周口市,川汇区,周口市川汇区工农路南段锦绣...","2016-11-14 09:28:08.424761","2016-11-14 09:28:08.424761"
"83","周口·忠银汽车美容中心","15936052888","周口市","1","车行","河南省,周口市,市辖区,周口市黄河路与六一路交叉口...","2016-11-14 09:28:08.426860","2016-11-14 09:28:08.426860"
"84","周口·忠银汽车装饰·莲花路店","13525760019","周口市","1","车行","河南省,周口市,市辖区,周口市莲花路与中州路交叉口...","2016-11-14 09:28:08.460718","2016-11-14 09:28:08.460718"
"85","郑州·亿芯汽车美容维修保养","18703856156","郑州市","1","车行","河南省,郑州市,市辖区,郑州市列里路普惠路交叉口西...","2016-11-14 09:28:08.462486","2016-11-14 09:28:08.462486"
"86","上蔡·瑞峰茶莊","13938354617","驻马店市","1","休闲养生","河南省,驻马店市,上蔡县,上蔡县西大街与龙祥路交叉...","2016-11-14 09:28:08.464136","2016-11-14 09:28:08.464136"
"87","漯河·车饰界汽车美容会所","15903955386","漯河市","1","车行","河南省,漯河市,市辖区,漯河市大学路西段联通大厦斜...","2016-11-14 09:28:08.465817","2016-11-14 09:28:08.465817"
"88","阜阳·雷克泰酒店","0558-2295555","阜阳市","1","宾馆酒店","安徽省,阜阳市,市辖区,阜阳市一道河东路259号","2016-11-14 09:28:08.467448","2016-11-14 09:28:08.467448"
"89","阜阳·徽府茶莊","0558-2137777","阜阳市","1","休闲养生","安徽省,阜阳市,市辖区,阜阳市北京中路汽车北站东1...","2016-11-14 09:28:08.469454","2016-11-14 09:28:08.469454"
"90","太和·维多利陶瓷","0558-2935293","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城A馆1楼15...","2016-11-14 09:28:08.472879","2016-11-14 09:28:08.472879"
"91","太和·摩力克窗帘","13956766365","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城国邦美家居A...","2016-11-14 09:28:08.476161","2016-11-14 09:28:08.476161"
"92","太和·巴黎世家","15855859917","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城国邦美家居A...","2016-11-14 09:28:08.478568","2016-11-14 09:28:08.478568"
"93","太和·港基新传家居","15055587866","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城国邦美家居A...","2016-11-14 09:28:08.509767","2016-11-14 09:28:08.509767"
"94","太和·卡诺亚衣柜","0558-2936955","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城国邦美家居B...","2016-11-14 09:28:08.511497","2016-11-14 09:28:08.511497"
"95","太和·慕思·艾娅衣柜","18110596878","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城国邦美家居B...","2016-11-14 09:28:08.513211","2016-11-14 09:28:08.513211"
"96","太和·美大集成灶","18130728539","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城国邦家居二楼","2016-11-14 09:28:08.514742","2016-11-14 09:28:08.514742"
"97","太和·肯帝亚地板","0558-2933636","阜阳市","1","优质生活","安徽省,阜阳市,太和县,太和县望和新城A栋2楼34...","2016-11-14 09:28:08.516435","2016-11-14 09:28:08.516435"
"98","上蔡·星海酒楼","15093552456","驻马店市","1","特色美食","河南省,驻马店市,上蔡县,上蔡县龙胜大道与腾飞路交...","2016-11-14 09:28:08.518203","2016-11-14 09:28:08.518203"
"99","上蔡·金虎家居","15236998088","驻马店市","1","优质生活","河南省,驻马店市,上蔡县,上蔡县白云大道白云商业大...","2016-11-14 09:28:08.520516","2016-11-14 09:28:08.520516"
"100","上蔡·安顺驾校","18239627978","驻马店市","1","优质生活","河南省,驻马店市,上蔡县,上蔡县老汽车站院内","2016-11-14 09:28:08.523319","2016-11-14 09:28:08.523319"
"101","郑州·优畅汽车美容会所","13623823639","郑州市","1","车行","河南省,郑州市,市辖区,郑州市金水路沙口路向北50...","2016-11-14 09:28:08.525300","2016-11-14 09:28:08.525300"
"102","郑州·嘉悦汽车服务","18838067787","郑州市","1","车行","河南省,郑州市,市辖区,郑州市经七路红专路西南角5...","2016-11-14 09:28:08.527140","2016-11-14 09:28:08.527140"
"103","郑州·快车道·华冠汽车美容","18937105177","郑州市","1","车行","河南省,郑州市,市辖区,郑州市秦岭路与建设路南20...","2016-11-14 09:28:08.559952","2016-11-14 09:28:08.559952"
"104","郑州·车驿站锦湖轮胎","18638396935","郑州市","1","车行","河南省,郑州市,市辖区,郑州市二环支路与瑞光路交叉...","2016-11-14 09:28:08.562007","2016-11-14 09:28:08.562007"
"105","郑州·车地带汽车服务","15981944966","郑州市","1","车行","河南省,郑州市,市辖区,郑州市桐柏北路威尼斯水城3...","2016-11-14 09:28:08.563649","2016-11-14 09:28:08.563649"
"106","漯河·炫车一族汽车美容装饰","15239513325","漯河市","1","车行","河南省,漯河市,市辖区,漯河市汉江路许慎幼儿园对面","2016-11-14 09:28:08.565181","2016-11-14 09:28:08.565181"
"107","漯河·天美汽车一站式服务","15039507608","漯河市","1","车行","河南省,漯河市,市辖区,漯河市汉江路东段小花盆西侧","2016-11-14 09:28:08.566740","2016-11-14 09:28:08.566740"
"108","漯河·宝鼎车饰品牌店","13903956395","漯河市","1","车行","河南省,漯河市,市辖区,漯河市建设路和泰山路交叉口","2016-11-14 09:28:08.568454","2016-11-14 09:28:08.568454"
"109","郑州·固特异汽车美容装饰长江路店","13598815583","郑州市","1","车行","河南省,郑州市,市辖区,郑州市长江路工人路交叉口","2016-11-14 09:28:08.571595","2016-11-14 09:28:08.571595"
"110","郑州·德国马牌合之鑫汽车服务","13303834494","郑州市","1","车行","河南省,郑州市,市辖区,郑州市瑞达路宏兴街东南角","2016-11-14 09:28:08.574323","2016-11-14 09:28:08.574323"
"111","郑州·合鑫汽车服务","13373900325","郑州市","1","车行","河南省,郑州市,市辖区,郑州市电厂南路曙光街交叉口...","2016-11-14 09:28:08.577055","2016-11-14 09:28:08.577055"
"112","郑州·东源汽车养护","18037577757","郑州市","1","车行","河南省,郑州市,市辖区,郑州市天明路与南丰街交叉口...","2016-11-14 09:28:08.608648","2016-11-14 09:28:08.608648"
"113","郑州·卡美家汽车服务部","18337155517","郑州市","1","车行","河南省,郑州市,市辖区,郑州市南阳路岗杜街交叉口向...","2016-11-14 09:28:08.610554","2016-11-14 09:28:08.610554"
"114","漯河·車镇汽车美容会所","15939549991","漯河市","1","车行","河南省,漯河市,市辖区,漯河市泰山路南段厚皇朝国际...","2016-11-14 09:28:08.612260","2016-11-14 09:28:08.612260"
"115","漯河·威杰龍靓车坊","13703855885","漯河市","1","车行","河南省,漯河市,市辖区,漯河市柳江路中段柳江医院对...","2016-11-14 09:28:08.613920","2016-11-14 09:28:08.613920"
"116","漯河·大拇指汽车美容中心","15639519266","漯河市","1","车行","河南省,漯河市,市辖区,漯河市大学路与太行山路交叉...","2016-11-14 09:28:08.615565","2016-11-14 09:28:08.615565"
"117","郑州·驰加·光辉店","13783558577","郑州市","1","车行","河南省,郑州市,市辖区,郑州市宋寨南街天明路向东3...","2016-11-14 09:28:08.617646","2016-11-14 09:28:08.617646"
"118","郑州·中华爱车一站式服务中心","13592675061","郑州市","1","车行","河南省,郑州市,市辖区,郑州市三全路花园路交叉口东...","2016-11-14 09:28:08.620486","2016-11-14 09:28:08.620486"
"119","郑州·醒车汇汽车服务广场","13607692446","郑州市","1","车行","河南省,郑州市,市辖区,郑州市伊河路华山路向西10...","2016-11-14 09:28:08.624291","2016-11-14 09:28:08.624291"
"120","郑州·新港汽车服务中心","13526688553","郑州市","1","车行","河南省,郑州市,市辖区,郑州市经三路广电南路向东5...","2016-11-14 09:28:08.626889","2016-11-14 09:28:08.626889"
"121","郑州·赛驰汽车维修有限公司","18003719977","郑州市","1","车行","河南省,郑州市,市辖区,郑州市三全路文化路向东30...","2016-11-14 09:28:08.659490","2016-11-14 09:28:08.659490"
"122","郑州·塞维斯汽车装饰用品商行","13140000767","郑州市","1","车行","河南省,郑州市,市辖区,郑州市国基路丰庆路交叉口向...","2016-11-14 09:28:08.661286","2016-11-14 09:28:08.661286"
"123","郑州·明点装饰美容店","15038092976","郑州市","1","车行","河南省,郑州市,市辖区,郑州市陇海路勤劳街向北50...","2016-11-14 09:28:08.663216","2016-11-14 09:28:08.663216"
"124","郑州·樂驾养护专家","18839015791","郑州市","1","车行","河南省,郑州市,市辖区,郑州市三全路索凌路交叉口向...","2016-11-14 09:28:08.665130","2016-11-14 09:28:08.665130"
"125","郑州·老王汽车装饰","13592589737","郑州市","1","车行","河南省,郑州市,市辖区,郑州市华山路与岗坡路交叉口...","2016-11-14 09:28:08.666958","2016-11-14 09:28:08.666958"
"126","郑州·碧泉镀晶·嵩山路店","15136280214","郑州市","1","车行","河南省,郑州市,市辖区,郑州市嵩山路南三环交叉口向...","2016-11-14 09:28:08.669229","2016-11-14 09:28:08.669229"
"127","郑州·碧泉镀晶·橄榄城店","18838149627","郑州市","1","车行","河南省,郑州市,市辖区,郑州市连云路丹枫路向西20...","2016-11-14 09:28:08.672648","2016-11-14 09:28:08.672648"
"128","上蔡·翼联通讯商城","15544444567","驻马店市","1","优质生活","河南省,驻马店市,上蔡县,上蔡县西大街中国联通翼联...","2016-11-14 09:28:08.675415","2016-11-14 09:28:08.675415"
"129","上蔡·华艺休闲会所","15515972597","驻马店市","1","休闲养生","河南省,驻马店市,上蔡县,上蔡县蔡候路与秦相大道交...","2016-11-14 09:28:08.678701","2016-11-14 09:28:08.678701"
"130","阜阳·鑫时代汽车美容维修中心","0558-2339986","阜阳市","1","车行","安徽省,阜阳市,市辖区,阜阳市南京路紫金城西门北侧","2016-11-14 09:28:08.709775","2016-11-14 09:28:08.709775"
"131","阜阳·靓车会专业汽车美容","0558-2781868","阜阳市","1","车行","安徽省,阜阳市,颍州区,阜阳市颍州区淮河路天瑞名城...","2016-11-14 09:28:08.711666","2016-11-14 09:28:08.711666"
"132","阜阳·赛S汽车服务","0558-2706162","阜阳市","1","车行","安徽省,阜阳市,颍泉区,阜阳市界首路颍泉区政府对面...","2016-11-14 09:28:08.713344","2016-11-14 09:28:08.713344"
"133","太和·枚凯车庄","0558-8677336","阜阳市","1","车行","安徽省,阜阳市,太和县,太和县建设东路与长征路交叉...","2016-11-14 09:28:08.715108","2016-11-14 09:28:08.715108"
"134","太和·艺博汽车美容钣喷中心","18356805906","阜阳市","1","车行","安徽省,阜阳市,太和县,太和县客运北站南200米路...","2016-11-14 09:28:08.716840","2016-11-14 09:28:08.716840"
